school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M
comm1,38,33,0,35,29,0.546875,4.2857142857142856,4.6551724137931032,10,9,0.66000000000000003,0.51851851851851849,0.65999999999999392,0.67834983640639668,0.51851851851449926,0.51851851851449926,0.11910908007609865,0.0,0.09059187140811864,0.5029122680104179
comm10,353,328,4,322,251,0.56195462478184988,5.5310559006211184,4.8406374501992033,10,10,0.66704098820887137,0.54074074074074074,0.6670409882088697,0.6670409882088697,0.54074074074074074,0.55397552742606304,0.0,0.062388363709297116,0.9321016521029408,0.022643539616791664
comm11,220,204,2,200,162,0.5524861878453039,4.7699999999999996,4.9567901234567904,10,10,0.60482180293501053,0.53798256537982558,0.60482180269172325,0.60482180269172325,0.53798256536013334,0.53798256536013334,0.0,0.0,0.841391814740982,0.8219990109465942
comm12,276,309,1,265,289,0.47833935018050544,6.3924528301886792,6.2076124567474045,10,10,0.57792207792207795,0.56243032329988851,0.57792207792207795,0.57792207792207795,0.5624303232556318,0.5624303232556318,0.0,0.0,0.9998521736567411,0.9999668728930962
comm13,354,328,7,304,247,0.55172413793103448,4.8026315789473681,4.5020242914979756,10,10,0.6753424657534246,0.55665467625899279,0.67534246575342138,0.67534246575342138,0.5566546762589929,0.56844500912907348,0.0,0.052692237062527285,0.7941209659608035,0.06110187868243944
comm14,283,283,3,267,257,0.50954198473282442,6.0187265917602994,6.0,10,10,0.60485376477909147,0.54085603112840464,0.60485376477909136,0.60485376477909136,0.54085603107019897,0.54085603107019897,0.0,0.0,0.9758077979739863,0.9477375220742689
comm15,533,549,7,495,430,0.53513513513513511,5.4262626262626261,4.9534883720930232,10,10,0.63775130305286676,0.54788732394366202,0.63775130305286698,0.63775130305286698,0.54788732394366202,0.54953469513699682,0.0,0.008294300959749487,0.9982496004359485,0.3503925980255369
comm16,380,406,9,347,333,0.51029411764705879,5.4553314121037468,5.4594594594594597,10,10,0.59323824617010035,0.52475247524752477,0.59323824617010035,0.59323824617010035,0.52475247524455915,0.52475247524455915,0.0,0.0,0.9964726741841248,0.9594110842941729
comm17,649,591,6,597,460,0.56480605487228008,5.5611390284757123,5.4326086956521742,10,10,0.62620481927710836,0.52460984393757504,0.62620481927710914,0.62620481927710914,0.52460984393245491,0.52460984393245491,0.0,0.0,0.9533339257574088,0.9438818051783643
comm18,137,151,2,126,131,0.49027237354085601,5.1984126984126986,5.656488549618321,10,10,0.56641221374045803,0.52631578947368418,0.56641221363676175,0.56641221363676175,0.52631578947363966,0.52631578947363966,0.0,0.0,0.9704051611929749,0.9830255027836353
