school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt
USFCA72,0.5,0.57647441478494077,0.013512328103793327,0.77620931460571296,0.018644428477629493
American75,0.5,0.56917810117512224,0.0090495465229505339,0.767460974904566,0.013387307090924571
USF51,0.5,0.46123278490189223,0.0041212848378710072,0.81786202082678572,0.0052834903168573633
Tulane29,0.5,0.64421669290945904,0.0082017060071222069,0.79180695638044307,0.0096989336699384605
BC17,0.5,0.60876277600236772,0.0081841527461565498,0.83150435202236805,0.014321659677883684
Texas84,0.5,0.61506647340185039,0.0043436496075030182,0.78526078642646746,0.0047191429329946633
Middlebury45,0.5,0.61905589060761801,0.011005595800195382,0.73414637407852534,0.022513484098459595
Vanderbilt48,0.5,0.76775450917168331,0.0074719701356382572,0.83701392485682879,0.013700676009918819
Syracuse56,0.5,0.61732453543921306,0.0061193234787829372,0.79060683038295143,0.0063298529356241098
Yale4,0.5,0.61175321492741852,0.0079038417308400482,0.74939257938444226,0.0068876008756318802
Indiana69,0.5,0.56392026395610639,0.0017715946854506258,0.84047336354641011,0.0055277616294575702
Amherst41,0.5,0.65068480383583882,0.013010981754654269,0.74743059852674876,0.033526118775837735
Caltech36,0.5,0.63893909877474564,0.024691461801073785,0.67628664472256572,0.039340027591855238
Smith60,0.5,0.68409473568557466,0.055853359714940674,0.76791446130430507,0.067351299916691115
UC33,0.5,0.58741721368884836,0.0057511028343774284,0.75622778073763874,0.0077283726184778556
Michigan23,0.5,0.67015724047713499,0.0023736755761609466,0.80331629081158729,0.0051657969628031396
UCLA26,0.5,0.59155930087562603,0.0041376764617976685,0.76085522499502478,0.0070169824451869652
Haverford76,0.5,0.68756206048822599,0.0097609969761560059,0.72182368190026325,0.024855803849537932
Mich67,0.5,0.65545897457516133,0.0092947152333125328,0.8058131463326188,0.01354260051598064
Tennessee95,0.5,0.61704982099688088,0.0036324054425775128,0.8050019877640413,0.010830537541483033
UPenn7,0.5,0.6719377236147952,0.0041093251507432092,0.78429355731452399,0.012463284993134868
Vermont70,0.5,0.55855404473276149,0.0040159229002931481,0.77684438771725761,0.012788512294528143
UConn91,0.5,0.5884035730904873,0.0041925974432133169,0.82478760979331867,0.0057653453854458869
UCF52,0.5,0.54417064669270698,0.0072073891251830044,0.76795029787038449,0.0056886467411364338
UF21,0.5,0.6363001790784375,0.0051286094251850566,0.78488924590388021,0.0036706308498056241
UC64,0.5,0.50698264112773572,0.0063067532167954028,0.72882988240551483,0.006571274428513723
Princeton12,0.5,0.6771598762694292,0.0086387027009030021,0.78316290394945542,0.01247138040001392
Oklahoma97,0.5,0.66058469709548662,0.0038611153874716143,0.79215868213025309,0.012024447419288178
Wesleyan43,0.5,0.57824692983776838,0.0079939764245553855,0.71198873126483542,0.017253590793391567
Columbia2,0.5,0.67907921309161579,0.0055333381918392481,0.78838904649573516,0.0085448724173143534
Howard90,0.5,0.40024286085967226,0.0096201320814470938,0.89535742714788213,0.0071220883835887549
Santa74,0.5,0.5769372878225546,0.010299725694595731,0.80132981033439243,0.016814658788762794
UMass92,0.5,0.49984606655299235,0.0039694351814651601,0.81972967177826672,0.0046225607203204547
Trinity100,0.5,0.63269869511428989,0.007419543902078574,0.76572852965737437,0.032167252022920638
Tufts18,0.5,0.65319277508603235,0.0051784026925542096,0.76652867651763068,0.010085813741847782
Carnegie49,0.5,0.71253774517572555,0.0028344760960352668,0.78794504017104938,0.016788989755803032
UGA50,0.5,0.6849558184560689,0.0055131177944264679,0.78465583519189497,0.007122320018826029
BU10,0.5,0.59122641601272341,0.0050195951282650704,0.80669776064196552,0.0034088844230022309
Bowdoin47,0.5,0.62217191526556803,0.012804412384704629,0.71850403930321816,0.033737361098382497
Berkeley13,0.5,0.62966275222090884,0.0040422954382782501,0.76845810461594888,0.0045791714596447076
Simmons81,0.5,0.56873436871620875,0.063561668379670908,0.65512972730560326,0.07369380566140056
Oberlin44,0.5,0.58215285517284987,0.016428679715451724,0.72698541436680231,0.016898794055933457
Colgate88,0.5,0.69190905030388339,0.0064343616430283922,0.83547746149949931,0.016823690156881576
UVA16,0.5,0.71818214511925316,0.0042111596341897093,0.80784672450063355,0.0062575705126090547
Rice31,0.5,0.61121695441441148,0.007667199127038159,0.72604551902223291,0.018156127944776335
Wellesley22,0.5,0.8004746702002199,0.025071579340876754,0.80749243079894273,0.082781305558044943
Bucknell39,0.5,0.71606805437929721,0.010052343261796232,0.83792716523246946,0.012002002724812099
Vassar85,0.5,0.53940531953068716,0.016506381979086774,0.72939332077004015,0.024875416610962001
Virginia63,0.5,0.64179167123859249,0.0032821307389706215,0.81084743974137452,0.0040611814331865097
Stanford3,0.5,0.62672842138587159,0.0077990100227937013,0.73324180647948733,0.011305371950816077
Auburn71,0.5,0.65117340946816216,0.0068648920957645873,0.78635134477424362,0.0095860345510298886
Hamilton46,0.5,0.7115199222202504,0.013038144617136607,0.81071286552674027,0.03014505481446586
Penn94,0.5,0.59326017327060576,0.0025762798144532135,0.79411151583342043,0.0053956625852808176
Bingham82,0.5,0.58923583267417945,0.0054269427175070153,0.79598890661386079,0.006023977563962178
Temple83,0.5,0.49174877680005602,0.0078659079396281514,0.80983235392491137,0.0038390077462740965
Emory27,0.5,0.69698634697127038,0.0070956838236624041,0.81669871224226909,0.015790433978405648
Harvard1,0.5,0.63481693804540495,0.0048119535476429647,0.75025348999086439,0.011705708892928067
Swarthmore42,0.5,0.66847339543259987,0.009049583043039466,0.75079968406392417,0.017098322383528253
Wisconsin87,0.5,0.61642979893120553,0.0026764501173320099,0.78125168794991939,0.0066596242485945853
USC35,0.5,0.66401827891987764,0.0042775985448310376,0.78241715215885377,0.0091549042971361735
WashU32,0.5,0.67574730267946026,0.0024671191685089592,0.76719424087564903,0.005232957821737487
Northwestern25,0.5,0.69785067161344672,0.0029202786822538395,0.80779141755549255,0.0071062813078370318
Georgetown15,0.5,0.5799847857353907,0.0081342226652620676,0.76842159624751161,0.019267767340100994
JMU79,0.5,0.5534283569206655,0.0044769956442239469,0.835980990107139,0.0048645585383399106
Maryland58,0.5,0.64398625770653761,0.0046542206717110658,0.80959821547919708,0.0056741950431100606
Lehigh96,0.5,0.68042118209669655,0.006407685362596862,0.84330188486387259,0.0095040048794741028
Duke14,0.5,0.71213400099072877,0.004132748112379311,0.80798944063839662,0.0057452681207950662
William77,0.5,0.7552679138371996,0.003980426434894194,0.82558098186550755,0.012621907223721354
Brandeis99,0.5,0.58910483497279675,0.0099078978972568215,0.75747221631606221,0.019245949571328292
Cal65,0.5,0.58469829378535643,0.0057472807383309133,0.78199183334262767,0.0083058853851030595
Maine59,0.5,0.54833706856075737,0.0046960050284256807,0.77816986504419916,0.0084780758113122152
Williams40,0.5,0.68310875459442599,0.0062340514438493817,0.74800736045390614,0.02417371686872561
Dartmouth6,0.5,0.6911674409652625,0.0088921565451513147,0.80170511561708546,0.007844077225994674
Cornell5,0.5,0.68505158105251651,0.0039098641773735237,0.79564083701654309,0.0093854558912145804
UNC28,0.5,0.64715519959888612,0.0035827271282916416,0.77788626652985005,0.0052992406890434223
UChicago30,0.5,0.60284976334100482,0.0058707598269420623,0.71716214622104224,0.0063146532198486149
MIT8,0.5,0.71743193038093811,0.0077760014269974143,0.80320755668629373,0.012866518198254418
Pepperdine86,0.5,0.65883601654398061,0.0091905318970345994,0.80962078973607476,0.019292023771383622
GWU54,0.5,0.57330273292249934,0.0073106637172596226,0.7840108319548047,0.0099904805972374933
UCSD34,0.5,0.60136589850936528,0.0046945360205932676,0.73782416357587033,0.007828771956983829
Reed98,0.5,0.53927304424498479,0.022338007344687737,0.66029329408900106,0.019669025128142652
Mississippi66,0.5,0.67853564486068607,0.005929694652912443,0.82302053626319849,0.0086323544977061073
Wake73,0.5,0.75130543638257552,0.0080661439166474797,0.81615723459938727,0.020811481678846045
NYU9,0.5,0.55020261432209439,0.0035701425890382549,0.77368024156630621,0.0075201452722447803
Villanova62,0.5,0.69351922891349216,0.0061718210535714269,0.83943428421373656,0.0093973204905446282
UCSC68,0.5,0.4957693751596467,0.0067704351949928092,0.72610899282171704,0.015329732562865604
UCSB37,0.5,0.53762543750513037,0.0042535565606764024,0.76987933011913223,0.0091339907087116951
Johns Hopkins55,0.5,0.67506182609181464,0.0063651784370104816,0.7689396857163725,0.016206587105558262
FSU53,0.5,0.56448541846786615,0.0034366569274693502,0.79001060345022134,0.0068773659375008607
Texas80,0.5,0.64922015677844369,0.0020759305484783553,0.72817581167548528,0.0047705788040035826
Northeastern19,0.5,0.5675309242174823,0.0055996853176135839,0.80629304283605163,0.0065728673002955814
MU78,0.5,0.69403945411592483,0.00372345900293825,0.82466413426914476,0.0091662343986535794
Notre Dame57,0.5,0.77636415491696253,0.0055700284291259547,0.89607301637939474,0.0055293190242735263
Rochester38,0.5,0.6711948488461652,0.0078489969343973238,0.75371488265649267,0.017339145782194625
MSU24,0.5,0.57485574660993222,0.0029620178405302153,0.80360065799649871,0.0053982848811544261
Rutgers89,0.5,0.59538808640866359,0.0038562127587006578,0.78298968107789024,0.0052790653166692311
UIllinois20,0.5,0.7093627552453402,0.0038423365003940834,0.81384822677244595,0.0038704456343364542
UC61,0.5,0.55104687697394739,0.0020136186395653035,0.72269875046530108,0.011331423840789046
Baylor93,0.5,0.70535856686083176,0.0034699809095544562,0.86603501212660028,0.0093563639611555921
Brown11,0.5,0.59408448264835056,0.0059939499334599276,0.75995115671772273,0.012128691797649218
